"","Time","Prices","Market_Cap","Volume"
"1",2020-06-01 11:03:20,239.239522629189,26677984632.6379,10313979935.8855
"2",2020-06-01 12:04:13,237.61557247929,26415757364.3746,11083035518.1568
"3",2020-06-01 13:02:29,239.542041597114,26618480776.6117,10624614451.5164
"4",2020-06-01 14:04:04,238.444164986625,26508145250.3671,10732230600.2662
"5",2020-06-01 15:00:25,238.463854920994,26470956916.6165,9636322384.22425
"6",2020-06-01 16:05:41,237.892407371936,26452090876.2143,10737391450.8608
"7",2020-06-01 17:00:43,241.809961407384,26651070947.3755,10462980157.2939
"8",2020-06-01 18:08:33,240.697837890953,26753490833.4433,10724224346.7412
"9",2020-06-01 19:04:08,245.008135024711,27196159650.3671,10838456586.6438
"10",2020-06-01 20:09:50,248.044566584487,27559451838.4364,12532381844.2598
"11",2020-06-01 21:04:20,246.330666563853,27385882982.97,11799073606.9887
"12",2020-06-01 22:08:53,247.128938854077,27490196149.6933,11944704604.1895
"13",2020-06-01 23:09:01,246.666086663643,27400457479.9282,11437800693.8263
"14",2020-06-02 00:08:34,246.933162571324,27451278988.6199,12010011273.7842
"15",2020-06-02 01:04:32,247.104474683695,27482608763.2723,11855479450.7706
"16",2020-06-02 02:08:54,247.826972982962,27572767312.8133,11677030753.4466
"17",2020-06-02 03:05:20,247.798995909906,27549945090.2102,12002078495.3297
"18",2020-06-02 04:07:31,248.63578378038,27638621563.7276,12041513610.6414
"19",2020-06-02 05:05:44,248.218051888138,27596828509.2989,11532256904.9725
"20",2020-06-02 06:04:45,248.721681928396,27673900229.4921,11943791120.2625
"21",2020-06-02 07:08:46,252.17123203852,27943623594.2788,12632105803.1967
"22",2020-06-02 08:09:27,252.12263999164,28010266242.3042,11415061496.2637
"23",2020-06-02 09:04:47,251.435483848468,27955148884.9053,12171314235.4576
"24",2020-06-02 10:05:20,251.383813479969,27954218463.3021,10065853029.1674
"25",2020-06-02 11:03:14,231.448299248259,27950962136.636,13372622758.829
"26",2020-06-02 12:04:48,234.378374007011,26007384764.8057,12730540277.3463
"27",2020-06-02 13:04:17,234.192587714575,25978260566.0974,13232128925.5537
"28",2020-06-02 14:04:50,235.383057259646,26171061778.7012,13616525238.5767
"29",2020-06-02 15:02:18,234.502408215705,26066338509.6557,13425332324.7096
"30",2020-06-02 16:04:31,236.437870807913,26288621342.1823,13320028350.2368
"31",2020-06-02 17:04:42,236.547437108385,26300931512.5399,13892781887.1758
"32",2020-06-02 18:03:10,238.02557503501,26504657214.0739,13493420723.8198
"33",2020-06-02 19:03:29,237.22022383651,26496813525.0088,13612786395.8885
"34",2020-06-02 20:05:45,237.265320128679,26414164713.7577,11228877888.9736
"35",2020-06-02 21:04:53,237.939157703942,26456224247.9788,10984932474.2843
"36",2020-06-02 22:04:57,237.059902100488,26369068027.7525,11526730695.2565
"37",2020-06-02 23:04:23,236.138604390133,26256281455.7815,11540744715.0771
"38",2020-06-03 00:02:08,235.681457601631,26195582985.5476,11355870772.9476
"39",2020-06-03 01:08:59,236.213171803005,26255144857.3344,11405837664.4089
"40",2020-06-03 02:04:59,236.465188281692,26254976601.2276,11801721219.5516
"41",2020-06-03 03:03:38,236.786484592204,26348296744.0697,11602644024.9428
"42",2020-06-03 04:03:19,236.684526369954,26296412060.069,10769282348.6734
"43",2020-06-03 05:04:15,236.854955259945,26405429808.6233,11335436086.2334
"44",2020-06-03 05:59:50,237.854602559502,26428351644.7299,10174340413.4887
"45",2020-06-03 07:05:05,239.871865718115,26665308247.7064,10932123954.2147
"46",2020-06-03 08:04:04,239.679238967932,26621066189.276,11151655269.0892
"47",2020-06-03 09:04:56,238.645854589305,26536374596.5095,10807624411.0408
"48",2020-06-03 10:08:28,239.010528663375,26635509981.3013,11322293731.0048
"49",2020-06-03 11:08:55,239.138007599925,26540010600.0718,9232897875.2007
"50",2020-06-03 12:02:23,238.831640348575,26557451727.2254,9333188483.11769
"51",2020-06-03 13:06:44,240.064728259809,26624480834.5245,9988499864.12151
"52",2020-06-03 14:03:52,239.102279108675,26629390926.1874,8728920789.64053
"53",2020-06-03 15:04:28,241.658042646877,26872184323.3514,8132625338.77968
"54",2020-06-03 16:08:57,240.766914451909,26776460899.7065,8726381354.59079
"55",2020-06-03 17:01:11,241.595724968659,26865517593.2819,9134741795.45589
"56",2020-06-03 18:02:05,241.06340912931,26806453799.1324,9446718493.03529
"57",2020-06-03 19:04:08,243.126170416436,27035983579.5394,9156470614.87161
"58",2020-06-03 20:08:54,244.125336610076,27137533088.4328,9023955445.45879
"59",2020-06-03 21:04:45,243.549837816179,27083363869.4264,8860356915.46177
"60",2020-06-03 22:08:42,244.351759138106,27158576608.4841,8753246286.25874
"61",2020-06-03 23:03:25,245.992518655743,27355267807.2842,8981863060.73785
"62",2020-06-04 00:04:37,245.638346351313,27316035661.0763,9114435310.42631
"63",2020-06-04 01:02:18,244.11957275938,27161232034.2116,7696957408.47192
"64",2020-06-04 02:03:36,242.921618004235,27060753454.2764,8645205104.64136
"65",2020-06-04 03:04:14,244.013851715621,27151998118.3248,8711699290.16867
"66",2020-06-04 04:04:06,243.532244668872,27082377531.5561,9211003267.33764
"67",2020-06-04 05:03:30,243.504830275309,27009872882.7532,8787802736.85595
"68",2020-06-04 06:03:57,240.505867533699,26746067897.9846,8614783618.57823
"69",2020-06-04 07:08:04,239.698822548225,26667332743.6936,8467521725.73863
"70",2020-06-04 08:09:05,243.166100087949,26962899796.0071,8362688130.17261
"71",2020-06-04 09:04:00,243.582278191085,27088639601.7519,9448404074.53477
"72",2020-06-04 10:08:47,244.67588490816,27303929409.2273,9156086058.87855
"73",2020-06-04 11:09:28,243.137466619428,27028692180.5825,9221069290.93693
"74",2020-06-04 12:04:06,244.465861986577,27111879990.6896,8968439032.32461
"75",2020-06-04 13:04:30,243.309953856247,27058901140.6032,9583282635.09843
"76",2020-06-04 14:02:14,243.785230369565,27083852884.2269,8319571160.7851
"77",2020-06-04 15:08:45,241.133123576001,26994327742.1018,9419899091.06698
"78",2020-06-04 16:00:39,241.069080124333,26771316784.6033,9094874872.23694
"79",2020-06-04 17:01:51,240.921453276913,26732323039.2184,9733296084.13926
"80",2020-06-04 18:05:20,241.600705657585,26869489719.8789,9575886010.0882
"81",2020-06-04 19:03:57,244.002973529159,27136791692.0635,9845855195.82196
"82",2020-06-04 20:04:51,243.399506688047,27043024425.1734,9591426112.62836
"83",2020-06-04 21:07:03,243.684397760639,27075339562.8761,8664292029.134
"84",2020-06-04 22:03:57,244.457070655555,27199833217.7988,10099682536.9585
"85",2020-06-04 23:09:16,243.692530713415,27086122725.9019,9546022413.4316
"86",2020-06-05 00:05:16,242.651887288095,26987209691.5827,9273563389.0682
"87",2020-06-05 01:08:38,243.064048796215,27019387093.3288,8515566535.4633
"88",2020-06-05 02:09:01,243.684768848467,27096479212.2695,8334080234.38833
"89",2020-06-05 03:06:59,244.096168543006,27124745359.8511,8954205742.73038
"90",2020-06-05 04:03:31,243.206856018871,27084382574.7675,10023602033.7552
"91",2020-06-05 05:04:59,246.004195933795,27133488339.7424,9689777368.11986
"92",2020-06-05 06:08:25,245.642033267254,27314159497.6631,8671534344.33203
"93",2020-06-05 07:05:07,243.257466664792,27091774173.3685,8485352661.3935
"94",2020-06-05 08:04:18,242.429536351432,26976505693.0074,9433710698.41129
"95",2020-06-05 09:07:22,242.057569143369,26925527476.7154,9110962647.16171
"96",2020-06-05 10:04:12,243.399150623656,27071703466.7411,9674907373.86378
"97",2020-06-05 11:15:12,241.695007829353,26907972721.8689,8972510640.00217
"98",2020-06-05 12:07:38,242.05854096672,26936538876.9953,9508231511.97298
"99",2020-06-05 13:03:29,241.960020343998,26912044078.1501,7961501440.11715
"100",2020-06-05 14:07:24,241.833426591719,26898100650.2198,7579175716.38705
"101",2020-06-05 15:04:30,242.6012814176,26983647031.3176,8806260428.60583
"102",2020-06-05 16:07:25,242.20450986098,26938433781.5129,8708917580.21137
"103",2020-06-05 17:03:39,240.819959018387,26786303361.653,8877033358.11959
"104",2020-06-05 18:02:06,240.533822626853,26775243566.2204,9615166138.07186
"105",2020-06-05 19:08:37,240.918130483412,26794838136.79,9042537947.14669
"106",2020-06-05 20:07:01,240.246968987651,26722521046.7649,8222827212.49417
"107",2020-06-05 21:04:21,240.806147244965,26784826670.2678,8793931143.69849
"108",2020-06-05 22:02:15,239.839155806399,26742176285.0837,7530082722.13237
"109",2020-06-05 23:04:03,240.027567769235,26698495559.0557,8844544131.17177
"110",2020-06-06 00:08:52,240.631582635036,26709030579.5292,9256588835.69015
"111",2020-06-06 01:03:42,239.739949501457,26651098660.9106,9160095205.23469
"112",2020-06-06 02:07:43,240.433464571176,26747817874.5737,7404182769.96112
"113",2020-06-06 03:03:54,240.520845008745,26724993096.1285,8136669979.59868
"114",2020-06-06 04:00:32,240.670015905092,26730865417.9948,8816174881.02225
"115",2020-06-06 05:04:20,240.088393478548,26675820980.3737,8630693819.59543
"116",2020-06-06 06:04:59,242.4547705922,26969416704.6122,8594125588.82673
