Date,Open,High,Low,Close,Volume,Market Cap
Jun-27-2019,1.2759,1.474119158,1.219397766,1.319945915,723812.1789459272,0
Jun-28-2019,1.3291,2.0032721,1.3228,1.99472742,820960.5104209795,0
Jun-29-2019,2.0007,2.1109,1.7462,2.1109,740685.6919538624,0
Jun-30-2019,2.1109,2.181,1.854654881,1.944879388,159024.82337128054,0
Jul-01-2019,1.9357,1.9711,1.8336,1.89,133126.75629199017,0
Jul-02-2019,1.89,1.89,1.6212,1.6245,104679.26097449753,0
Jul-03-2019,1.6245,1.6245,1.334435919,1.4332,175246.15216756935,0
Jul-04-2019,1.4332,1.6492,1.4332,1.49,123157.57154893449,0
Jul-05-2019,1.49,1.5,1.3837,1.499000667,25068.669042480367,0
Jul-06-2019,1.499000667,1.499000667,1.2613,1.2756,44382.51938223536,0
Jul-07-2019,1.2756,1.283350378,1.2523,1.254189111,103815.11565418687,0
Jul-08-2019,1.254189111,1.2967,1.252,1.2967,326321.04483764415,0
Jul-09-2019,1.2967,1.302853242,1.237500884,1.2887,373098.52878959646,0
Jul-10-2019,1.2887,1.498,1.2707,1.4979,366714.15429644386,0
Jul-11-2019,1.4979,1.498,1.3537,1.3537,270466.9672672178,0
Jul-12-2019,1.3537,1.6405,1.344131562,1.47929691,171437.55707867883,0
Jul-13-2019,1.479445801,1.508,1.432041414,1.4426,195558.14773209655,0
Jul-14-2019,1.4426,1.67,1.4426,1.61,281485.1721272035,0
Jul-15-2019,1.61,1.61,1.480150013,1.526904684,534596.2095180826,0
Jul-16-2019,1.525651518,1.526145483,1.369649808,1.369850417,630502.9298596471,0
Jul-17-2019,1.369850417,1.5539,1.335,1.543549947,662737.9495390302,0
Jul-18-2019,1.543549947,1.546507659,1.422,1.422,562362.0402671278,0
Jul-19-2019,1.422,1.441289673,1.326298438,1.362413898,120279.0861296371,0
Jul-20-2019,1.362413898,1.385100861,1.243199388,1.316502471,137754.66348180812,0
Jul-21-2019,1.313204597,1.3193,1.235235285,1.306747775,159801.75326123496,0
Jul-22-2019,1.306747775,1.306747775,1.235793847,1.242916065,34259.69658310881,0
Jul-23-2019,1.2441,1.2441,1.211352204,1.2119,85521.00946285304,0
Jul-24-2019,1.2119,1.2195,1.158962201,1.1778,102919.03109074001,0
Jul-25-2019,1.1778,1.2383,1.17,1.1716,44998.973556941695,0
Jul-26-2019,1.1716,1.1781,1.1236,1.1294,23772.684644250367,0
Jul-27-2019,1.1294,1.1371,1.087026571,1.093081758,73137.80820223065,0
Jul-28-2019,1.0943,1.095349513,0.90231,0.98698,222134.71800171898,0
Jul-29-2019,0.98698,0.994503791,0.87356,0.96353,201277.2671123777,0
Jul-30-2019,0.96353,0.9965,0.94004,0.940060418,105553.14377682684,0
Jul-31-2019,0.94007,0.9965,0.68601,0.75001,41333.22571821852,0
Aug-01-2019,0.75001,0.8347,0.75001,0.833525262,63800.75067863449,0
Aug-02-2019,0.833369184,0.845895296,0.824892994,0.84520015,267188.23360629345,0
Aug-03-2019,0.844749959,0.8554,0.8311,0.8554,283510.375154284,0
Aug-04-2019,0.8554,0.964761572,0.8554,0.9627,266868.8705524254,0
Aug-05-2019,0.9627,0.9829,0.94,0.9829,250507.38392080826,0
Aug-06-2019,0.982707933,0.982707933,0.9253,0.9517,70851.35576890025,0
Aug-07-2019,0.9517,0.9517,0.906883975,0.906883975,150959.95030130315,0
Aug-08-2019,0.900400945,0.903507918,0.815399641,0.817550254,359877.0497248038,0
Aug-09-2019,0.817550254,0.82525006,0.8104,0.812749631,366466.32813548873,5330688.572893296
Aug-10-2019,0.812749631,0.8159,0.80715023,0.811699864,249532.71520457327,5289329.295549306
Aug-11-2019,0.810696402,0.8153,0.7992,0.7992,308729.0260640866,5274848.5001903325
Aug-12-2019,0.7992,0.8089,0.791,0.7959,182704.55154779137,5234818.670745137
Aug-13-2019,0.7959,0.7959,0.742,0.742,122102.98204318,5019023.363789866
Aug-14-2019,0.742,0.742906616,0.6958,0.6958,126832.51740906204,4675846.436698027
Aug-15-2019,0.6958,0.7112,0.6958,0.7042,63454.909692448025,4376164.796149944
Aug-16-2019,0.7042,0.707177055,0.696049367,0.6964,120214.42953856546,4338270.185996625
Aug-17-2019,0.695950048,0.702450222,0.680956365,0.682249846,271597.9839517455,4247535.659224936
Aug-18-2019,0.682300093,0.704103348,0.6772,0.690000736,284690.7931198808,4206962.726725378
Aug-19-2019,0.692106192,0.694346246,0.676490446,0.69300914,260798.20942711312,4115936.317186987
Aug-20-2019,0.692511285,0.697440435,0.680703652,0.682292291,200161.47551618604,4114598.007386952
Aug-21-2019,0.682290967,0.684178273,0.674751419,0.677526327,142997.16051000086,4000606.214079679
Aug-22-2019,0.677181493,0.679926636,0.625143791,0.626060906,215820.78529843767,3831413.4348058067
Aug-23-2019,0.626062853,0.627231024,0.607639089,0.610121151,216218.80319202828,3543282.847803742
Aug-24-2019,0.610021312,0.615086297,0.603707501,0.607603981,196610.5277639196,3481446.520796892
Aug-25-2019,0.607607451,0.613445418,0.603043096,0.604138569,124929.39171504424,3413398.7962157666
